ID,Stay,Age,InfctRsk,Culture,Xray,Beds,MedSchool,Region,Census
90,11.41,50.4,5.8,23.8,73,424,1,3,359
91,8.86,51.3,2.9,9.5,87.5,100,0,3,65
92,8.93,56,2,6.2,72.5,95,0,3,59
93,8.92,53.9,1.3,2.2,79.5,56,0,2,40
94,8.15,54.9,5.3,12.3,79.8,99,0,4,55
95,9.77,50.2,5.3,15.7,89.7,154,0,2,123
96,8.54,56.1,2.5,27,82.5,98,0,1,57
97,8.66,52.8,3.8,6.8,69.5,246,0,3,178
98,12.01,52.8,4.8,10.8,96.9,298,0,1,237
99,7.95,51.8,2.3,4.6,54.9,163,0,3,128
100,10.15,51.9,6.2,16.4,59.2,568,1,3,452
101,9.76,53.2,2.6,6.9,80.1,64,0,4,47
102,9.89,45.2,4.3,11.8,108.7,190,0,1,141
103,7.14,57.6,2.7,13.1,92.6,92,0,4,40
104,13.95,65.9,6.6,15.6,133.5,356,0,1,308
105,9.44,52.5,4.5,10.9,58.5,297,0,3,230
106,10.8,63.9,2.9,1.6,57.4,130,0,3,69
107,7.14,51.7,1.4,4.1,45.7,115,0,3,90
108,8.02,55,2.1,3.8,46.5,91,0,2,44
109,11.8,53.8,5.7,9.1,116.9,571,1,2,441
110,9.5,49.3,5.8,42,70.9,98,0,3,68
111,7.7,56.9,4.4,12.2,67.9,129,0,4,85
112,17.94,56.2,5.9,26.4,91.8,835,1,1,791
113,9.41,59.5,3.1,20.6,91.7,29,0,3,20
